,name,text,url,follower_num
1532,AMD1•ILLUMINATED,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/908747112736837633/S80oP_b7_normal.jpg,1036170
876,bryanboy,RT @funder: WATCH: President Obama say #MerryChristmas 17 times over the years. RT if you wish he were still President. 🎅🎄 https://t.co/ATn…,https://pbs.twimg.com/profile_images/378800000592133132/33f709fcd58db0b807e9ac7c0931acc1_normal.jpeg,579494
1445,Relationship Goals,RT @GiftedVoicess: Michelle Obama is the coolest first lady ever https://t.co/rbyyaLcoku,https://pbs.twimg.com/profile_images/798600131738144769/x6HjKqYk_normal.jpg,333340
1939,tristan walker,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/479487782075629569/y3f1BvvV_normal.jpeg,310455
853,Cydnee Black,"Love you, miss you https://t.co/VJeHMske7R",https://pbs.twimg.com/profile_images/934227892933820416/ZtV90Wyc_normal.jpg,246469
359,Kevin W.,RT @just10gorham: Eric Holder was busted smuggling guns to the Zeta Cartel(#FastandFurious) &amp; lied under oath to Congress about it as AG in…,https://pbs.twimg.com/profile_images/934448904757751808/SXxp0czL_normal.jpg,80883
903,Tim Gradous,"RT @tgradous: #Remembering

 2010 - Obama Admin. Official asks Argentina to provide Iran with nuclear fuel! 

https://t.co/AqsfgciQX0

@the…",https://pbs.twimg.com/profile_images/873211781262356480/EKdkmLps_normal.jpg,68137
167,Dr. Tom Martin Ph.D.,RT @dwatson904: Merry Christmas President Obama. https://t.co/t3vCvig5p9,https://pbs.twimg.com/profile_images/2416936259/uirl40qd3x2s0pg1lrot_normal.jpeg,57159
1412,Liz Ryan,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/1570051568/side_purple_normal.jpg,48505
1181,Deplorable Jim K,Trump Signs Executive Order To Seize Assets Of Clinton &amp; Obama. https://t.co/DRneea8VS1 via @YouTube,https://pbs.twimg.com/profile_images/942895531067506688/YeVQ1znK_normal.jpg,47133
782,👌Jimmy 2 Scoops,"RT @RickOhioImBack: I wanna say #MerryChristmas to the greatest president 

EVER @realDonaldTrump 

I just want to remind everyone the stat…",https://pbs.twimg.com/profile_images/593875402763800576/KbMa6To__normal.jpg,37625
